category,impact,id,description,help,helpUrl,tags,html,target,failureSummary
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a class=\"btn btn-primary\" href=\"/form/resource\">Add a Resource</a>","a[href$=\"resource\"]","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<span aria-hidden=\"true\">Last »</span>","a[href=\"?page=11\"] > span[aria-hidden=\"true\"]","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #0489ba, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"#\" class=\"facets-soft-limit-link\">Show more</a>","#block-nect-tags > .mb-2.mb-lg-4.facets-widget-checkbox > .facets-soft-limit-link[href=\"#\"]","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #0489ba, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
warning,moderate,heading-order,"Ensure the order of headings is semantically correct","Heading levels should only increase by one","https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI","cat.semantics;best-practice","<h4 id=\"pagination-heading\" class=\"visually-hidden\">Pagination</h4>","#pagination-heading","Fix any of the following:\n  Heading order invalid"
