category,impact,id,description,help,helpUrl,tags,html,target,failureSummary
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://nsf.gov\" target=\"_blank\">U.S. National Science Foundation</a>","a[href$=\"nsf.gov\"]","Fix any of the following:\n  Element has insufficient color contrast of 4 (foreground color: #0489ba, background color: #222222, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://cnct.ci/\">https://cnct.ci/</a>","a[href$=\"cnct.ci/\"]","Fix any of the following:\n  The link has insufficient color contrast of 1.83:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1c4c84, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
error,serious,link-in-text-block,"Ensure links are distinguished from surrounding text in a way that does not rely on color","Links must be distinguishable without relying on color","https://dequeuniversity.com/rules/axe/4.10/link-in-text-block?application=axeAPI","cat.color;wcag2a;wcag141;TTv5;TT13.a;EN-301-549;EN-9.1.4.1","<a href=\"https://ask.ci/\">Ask.CI</a>","a[href$=\"ask.ci/\"]","Fix any of the following:\n  The link has insufficient color contrast of 1.83:1 with the surrounding text. (Minimum contrast is 3:1, link text: #1c4c84, surrounding text: #222222)\n  The link has no styling (such as underline) to distinguish it from the surrounding text"
