category,impact,id,description,help,helpUrl,tags,html,target,failureSummary
warning,moderate,heading-order,"Ensure the order of headings is semantically correct","Heading levels should only increase by one","https://dequeuniversity.com/rules/axe/4.10/heading-order?application=axeAPI","cat.semantics;best-practice","<h4 id=\"pagination-heading\" class=\"visually-hidden\">Pagination</h4>","#pagination-heading","Fix any of the following:\n  Heading order invalid"
error,serious,list,"Ensure that lists are structured correctly","<ul> and <ol> must only directly contain <li>, <script> or <template> elements","https://dequeuniversity.com/rules/axe/4.10/list?application=axeAPI","cat.structure;wcag2a;wcag131;EN-301-549;EN-9.1.3.1","<ul class=\"pager__items js-pager__items\">",".pager__items","Fix all of the following:\n  List element has direct children that are not allowed: [role=presentation]"
