category,impact,id,description,help,helpUrl,tags,html,target,failureSummary
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(10) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(11) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(12) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(13) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(14) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(15) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(16) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(17) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(18) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(19) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(20) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(21) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(22) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(23) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<small>Join</small>",".border-x-0.border-b.border-t-0:nth-child(24) > .views-field-nid[headers=\"view-nid-table-column\"] > .btn-small.btn-secondary-outline.btn-md-teal > small","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 8.4pt (11.2px), font weight: normal). Expected contrast ratio of 4.5:1"
