category,impact,id,description,help,helpUrl,tags,html,target,failureSummary
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a class=\"ccmnet\" href=\"/user/register/ccmnet/\">create a new account</a>","a[href$=\"ccmnet/\"]","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #0489ba, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"/google-signin\">phasing out Google login.</a>",".ccmnet > a[href$=\"google-signin\"]","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #0489ba, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<input class=\"btn btn-success m-1 button js-form-submit form-submit btn btn-primary\" data-drupal-selector=\"edit-submit\" type=\"submit\" id=\"edit-submit\" name=\"op\" value=\"Log in\">",".btn-success","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"/login?redirect=\" class=\"button btn btn-primary\">Login with ACCESS CI</a>",".btn-primary.button[href=\"/login?redirect=\"]","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #ffffff, background color: #0489ba, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://identity.access-ci.org/\">Having trouble logging in?</a>","#cilogon-auth-login-suffix > a:nth-child(1)","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #0489ba, background color: #ffffff, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://identity.access-ci.org/new-user\">Create an account</a>","#cilogon-auth-login-suffix > a:nth-child(2)","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #0489ba, background color: #ffffff, font size: 10.8pt (14.4px), font weight: normal). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"/login?redirect=\" class=\"button btn btn-outline-primary\">Login with CILogon</a>",".btn-outline-primary","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #0489ba, background color: #ffffff, font size: 10.5pt (14px), font weight: bold). Expected contrast ratio of 4.5:1"
error,serious,color-contrast,"Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds","Elements must meet minimum color contrast ratio thresholds","https://dequeuniversity.com/rules/axe/4.10/color-contrast?application=axeAPI","cat.color;wcag2aa;wcag143;TTv5;TT13.c;EN-301-549;EN-9.1.4.3;ACT","<a href=\"https://www.cilogon.org/faq\">What is CILogon?</a>","a[href$=\"faq\"]","Fix any of the following:\n  Element has insufficient color contrast of 3.96 (foreground color: #0489ba, background color: #ffffff, font size: 9.6pt (12.8px), font weight: normal). Expected contrast ratio of 4.5:1"
